Date,Open,High,Low,Close,Volume,Adj Close
15/07/2008,-0.593905253,-0.595080918,-0.623579025,-0.614289142,2.856939925,-0.614289142
16/07/2008,-0.614707259,-0.576030965,-0.60484963,-0.56229595,2.440392104,-0.56229595
17/07/2008,-0.560635346,-0.547396392,-0.55336556,-0.536751865,2.857986276,-0.536751865
18/07/2008,-0.540294504,-0.547532961,-0.535713748,-0.536136983,1.717043393,-0.536136983
19/07/2008,-0.540294504,-0.547532961,-0.535713748,-0.536136983,1.717043393,-0.536136983
20/07/2008,-0.540294504,-0.547532961,-0.535713748,-0.536136983,1.717043393,-0.536136983
21/07/2008,-0.534146135,-0.538135915,-0.529060337,-0.537298173,1.035488756,-0.537298173
22/07/2008,-0.542241526,-0.521627067,-0.540811021,-0.508270728,2.068237573,-0.508270728
23/07/2008,-0.505026497,-0.498177128,-0.494235685,-0.49940892,2.418532024,-0.49940892
24/07/2008,-0.497597209,-0.511735581,-0.536278325,-0.550036032,2.033414732,-0.550036032
25/07/2008,-0.548338608,-0.545827511,-0.535816474,-0.541122949,1.063427005,-0.541122949
26/07/2008,-0.548338608,-0.545827511,-0.535816474,-0.541122949,1.063427005,-0.541122949
27/07/2008,-0.548338608,-0.545827511,-0.535816474,-0.541122949,1.063427005,-0.541122949
28/07/2008,-0.541080068,-0.551182649,-0.565543853,-0.581061322,0.803771909,-0.581061322
29/07/2008,-0.577594803,-0.545878725,-0.562105861,-0.531834267,1.557731396,-0.531834267
30/07/2008,-0.529534702,-0.509842556,-0.513974178,-0.495874285,1.702414468,-0.495874285
31/07/2008,-0.500756767,-0.50881912,-0.51149413,-0.524696838,1.51228509,-0.524696838
01/08/2008,-0.521165991,-0.533394714,-0.531044292,-0.536768749,1.071631199,-0.536768749
02/08/2008,-0.521165991,-0.533394714,-0.531044292,-0.536768749,1.071631199,-0.536768749
03/08/2008,-0.521165991,-0.533394714,-0.531044292,-0.536768749,1.071631199,-0.536768749
04/08/2008,-0.548748485,-0.550500428,-0.543171431,-0.556063545,0.989929151,-0.556063545
05/08/2008,-0.5460159,-0.508904476,-0.530821927,-0.494815646,-1.238046192,-0.494815646
06/08/2008,-0.496282099,-0.497324403,-0.494338411,-0.487456443,1.197293335,-0.487456443
07/08/2008,-0.491978178,-0.506124584,-0.514367545,-0.526933759,1.494510446,-0.526933759
08/08/2008,-0.526511701,-0.486784838,-0.518096387,-0.475281983,1.259534581,-0.475281983
09/08/2008,-0.526511701,-0.486784838,-0.518096387,-0.475281983,1.259534581,-0.475281983
10/08/2008,-0.526511701,-0.486784838,-0.518096387,-0.475281983,1.259534581,-0.475281983
11/08/2008,-0.478468696,-0.460691369,-0.46798054,-0.459914513,1.326514399,-0.459914513
12/08/2008,-0.460757866,-0.474948906,-0.477849787,-0.486773403,1.089239227,-0.486773403
13/08/2008,-0.48834036,-0.493299566,-0.496288333,-0.493193607,1.140097236,-0.493193607
14/08/2008,-0.499492944,-0.482930504,-0.492901704,-0.481070214,0.657842547,-0.481070214
15/08/2008,-0.479442311,-0.479621823,-0.469126607,-0.472071881,0.643060334,-0.472071881
16/08/2008,-0.479442311,-0.479621823,-0.469126607,-0.472071881,0.643060334,-0.472071881
17/08/2008,-0.479442311,-0.479621823,-0.469126607,-0.472071881,0.643060334,-0.472071881
18/08/2008,-0.472115388,-0.48274293,-0.496886944,-0.505538775,0.501416347,-0.505538775
19/08/2008,-0.508817967,-0.522940296,-0.516385951,-0.52587512,0.721663317,-0.52587512
20/08/2008,-0.524718539,-0.524031809,-0.519721217,-0.512471104,0.985097273,-0.512471104
21/08/2008,-0.518348136,-0.514839409,-0.512776957,-0.507041381,0.636908854,-0.507041381
22/08/2008,-0.507212648,-0.494902797,-0.491618877,-0.482316861,0.44262073,-0.482316861
23/08/2008,-0.507212648,-0.494902797,-0.491618877,-0.482316861,0.44262073,-0.482316861
24/08/2008,-0.507212648,-0.494902797,-0.491618877,-0.482316861,0.44262073,-0.482316861
25/08/2008,-0.485214993,-0.499371068,-0.513375568,-0.525618953,0.229038419,-0.525618953
26/08/2008,-0.525247877,-0.524645746,-0.516214949,-0.517644869,0.340318222,-0.517644869
27/08/2008,-0.517972242,-0.508614474,-0.504549662,-0.500313735,0.281695886,-0.500313735
28/08/2008,-0.496623594,-0.481958281,-0.481014051,-0.467837114,0.518071329,-0.467837114
29/08/2008,-0.474933451,-0.487228272,-0.482810092,-0.498316097,0.140745023,-0.498316097
30/08/2008,-0.474933451,-0.487228272,-0.482810092,-0.498316097,0.140745023,-0.498316097
31/08/2008,-0.474933451,-0.487228272,-0.482810092,-0.498316097,0.140745023,-0.498316097
01/09/2008,-0.474933451,-0.487228272,-0.482810092,-0.498316097,0.140745023,-0.498316097
02/09/2008,-0.489723853,-0.477933444,-0.50083815,-0.507280455,1.137404714,-0.507280455
03/09/2008,-0.508886349,-0.516203852,-0.512144104,-0.511719905,1.319629807,-0.511719905
04/09/2008,-0.5171012,-0.531211688,-0.568177991,-0.576860947,1.423278576,-0.576860947
